List	Display	POS	Source Entry ID	Hebrew source	A2 definition or synonyms	English example	Hebrew example	Record sense (English)	Record sense (Hebrew)	Repeated entry	Same-entry record IDs	Sense scope
A	addition	Noun	A3-050	חִבּוּר; הוֹסָפָה; תּוֹסֶפֶת	an extra thing or part	We made one small addition to the plan.	הוספנו תוספת קטנה אחת לתוכנית.	an extra thing or part	חִבּוּר; הוֹסָפָה; תּוֹסֶפֶת	FALSE		single-entry
A	advance	Noun	A1-002	התקדמות; קידום	movement forward; progress	The team made an important advance in its research.	הצוות השיג התקדמות חשובה במחקרו.	movement forward; progress	התקדמות; קידום	FALSE		single-entry
A	advanced	Adjective	A2-016	מִתְקַדֵּם	at a high or modern level	She studies advanced English.	היא לומדת אנגלית ברמה מתקדמת.	at a high or modern level	מִתְקַדֵּם	FALSE		single-entry
A	advertising	Noun	A1-047	פִּרְסוּם; ענף הפרסום	messages that try to sell products	Online advertising can reach many people.	פרסום מקוון יכול להגיע לאנשים רבים.	messages that try to sell products	פִּרְסוּם; ענף הפרסום	FALSE		single-entry
A	among other things	Phrase	A2-029	בין היתר	including some other things	The center offers, among other things, free English lessons.	המרכז מציע, בין היתר, שיעורי אנגלית בחינם.	including some other things	בין היתר	FALSE		single-entry
A	analysis	Noun	A3-038	אָנָלִיזָה; נִתּוּחַ	careful study of parts or information	The report includes an analysis of the results.	הדוח כולל ניתוח של התוצאות.	careful study of parts or information	אָנָלִיזָה; נִתּוּחַ	FALSE		single-entry
A	appear	Verb	A2-032	נִרְאָה; הוֹפִיעַ; נִגְלָה	come into view; seem	A rainbow appeared after the rain.	קשת הופיעה אחרי הגשם.	come into view; seem	נִרְאָה; הוֹפִיעַ; נִגְלָה	FALSE		single-entry
A	approach	Noun	A2-051	הִתְקָרְבוּת; גִּישָׁה	a way of doing or thinking about something	This teaching approach helps beginners.	גישת ההוראה הזאת עוזרת למתחילים.	a way of doing or thinking about something	הִתְקָרְבוּת; גִּישָׁה	TRUE	A3-035	record-specific
A	approach	Verb	A3-035	להתקרב; לגשת אל	move closer; begin to deal with	We approached the problem calmly.	ניגשנו לבעיה בשלווה.	move closer; begin to deal with	להתקרב; לגשת אל	TRUE	A2-051	record-specific
A	as	Conjunction	A3-075	כאשר; מפני ש; כפי ש־	used to connect two events, reasons or comparisons	As I was leaving, the phone rang.	כשעמדתי לצאת, הטלפון צלצל.	used to connect two events, reasons or comparisons	כאשר; מפני ש; כפי ש־	FALSE		single-entry
A	at least	Phrase	A2-058	לפחות	not less than a number or amount	At least ten students joined the activity.	לפחות עשרה תלמידים הצטרפו לפעילות.	not less than a number or amount	לפחות	FALSE		single-entry
A	average	Adjective	A1-012	מְמֻצָּע; רָגִיל	ordinary; not especially high or low	Her score was close to the average score.	הציון שלה היה קרוב לציון הממוצע.	ordinary; not especially high or low	מְמֻצָּע; רָגִיל	FALSE		single-entry
A	be responsible for	Phrase	A2-004	להיות אחראי ל־	have the duty to do or care for something	She is responsible for organizing the class trip.	היא אחראית לארגון הטיול הכיתתי.	have the duty to do or care for something	להיות אחראי ל־	FALSE		single-entry
A	before	Preposition	A2-074	לפני	earlier than a time or event	Please finish the work before lunch.	נא לסיים את העבודה לפני ארוחת הצהריים.	earlier than a time or event	לפני	FALSE		single-entry
A	besides	Adverb	A1-054	בנוסף; חוץ מזה	used to add another reason or fact	I am tired; besides, it is already late.	אני עייף; חוץ מזה, כבר מאוחר.	used to add another reason or fact	בנוסף; חוץ מזה	TRUE	A2-014	record-specific
A	besides	Preposition	A2-014	מלבד; נוסף על	apart from or in addition to someone or something	Besides English, she speaks Hebrew.	מלבד אנגלית, היא מדברת עברית.	apart from or in addition to someone or something	מלבד; נוסף על	TRUE	A1-054	record-specific
A	can	Verb	A2-042	יכול; עשוי	be able to do something or show that something is possible	Cold weather can make the roads dangerous.	מזג אוויר קר עלול להפוך את הכבישים למסוכנים.	be able to do something or show that something is possible	יכול; עשוי	FALSE		single-entry
A	challenge	Verb	A1-072	לאתגר; לערער על	question or disagree with something	The student challenged the speaker’s claim.	התלמיד ערער על טענתו של הדובר.	question or disagree with something	לאתגר; לערער על	FALSE		single-entry
A	chance	Noun	A2-063	סִכּוּי; צַ'אנְס; מַזָּל	an opportunity or a possibility	Everyone deserves a fair chance to succeed.	לכולם מגיע סיכוי הוגן להצליח.	an opportunity or a possibility	סִכּוּי; צַ'אנְס; מַזָּל	FALSE		single-entry
